num_spheres,width,height,run,time_ms,runtime
100,320,180,9,19.8929,gpu_base
100,640,360,0,39.1799,gpu_base
100,640,360,1,36.9791,gpu_base
100,640,360,2,39.8604,gpu_base
100,640,360,3,39.1345,gpu_base
100,640,360,4,36.4085,gpu_base
100,640,360,5,38.2753,gpu_base
100,640,360,6,36.6481,gpu_base
100,640,360,7,36.9037,gpu_base
100,640,360,8,39.2411,gpu_base
100,640,360,9,36.9446,gpu_base
100,1280,720,0,85.5604,gpu_base
100,1280,720,1,89.3077,gpu_base
100,1280,720,2,76.3931,gpu_base
100,1280,720,3,77.4681,gpu_base
100,1280,720,4,73.8378,gpu_base
100,1280,720,5,74.6438,gpu_base
100,1280,720,6,74.8076,gpu_base
100,1280,720,7,73.932,gpu_base
100,1280,720,8,77.2166,gpu_base
100,1280,720,9,74.7718,gpu_base
100,1920,1080,0,143.07,gpu_base
100,1920,1080,1,107.284,gpu_base
100,1920,1080,2,107.376,gpu_base
100,1920,1080,3,106.559,gpu_base
100,1920,1080,4,107.622,gpu_base
100,1920,1080,5,107.672,gpu_base
100,1920,1080,6,107.568,gpu_base
100,1920,1080,7,107.875,gpu_base
100,1920,1080,8,108.171,gpu_base
100,1920,1080,9,107.584,gpu_base
200,320,180,0,25.9365,gpu_base
200,320,180,1,23.9207,gpu_base
200,320,180,2,28.2552,gpu_base
200,320,180,3,28.0374,gpu_base
200,320,180,4,26.8351,gpu_base
200,320,180,5,27.6884,gpu_base
200,320,180,6,26.8711,gpu_base
200,320,180,7,24.0343,gpu_base
200,320,180,8,27.9417,gpu_base
200,320,180,9,37.3409,gpu_base
200,640,360,0,99.0073,gpu_base
200,640,360,1,96.9177,gpu_base
200,640,360,2,74.9878,gpu_base
200,640,360,3,77.1156,gpu_base
200,640,360,4,78.232,gpu_base
200,640,360,5,80.905,gpu_base
200,640,360,6,75.5706,gpu_base
200,640,360,7,75.8123,gpu_base
200,640,360,8,72.4422,gpu_base
200,640,360,9,78.9234,gpu_base
200,1280,720,0,215.339,gpu_base
200,1280,720,1,190.524,gpu_base
200,1280,720,2,188.936,gpu_base
200,1280,720,3,190.659,gpu_base
200,1280,720,4,190.241,gpu_base
200,1280,720,5,194.262,gpu_base
200,1280,720,6,184.367,gpu_base
200,1280,720,7,193.584,gpu_base
200,1280,720,8,192.446,gpu_base
200,1280,720,9,191.903,gpu_base
200,1920,1080,0,353.784,gpu_base
200,1920,1080,1,349.204,gpu_base
200,1920,1080,2,347.491,gpu_base
200,1920,1080,3,351.507,gpu_base
200,1920,1080,4,351.411,gpu_base
200,1920,1080,5,350.491,gpu_base
200,1920,1080,6,342.749,gpu_base
200,1920,1080,7,355.348,gpu_base
200,1920,1080,8,352.136,gpu_base
200,1920,1080,9,352.425,gpu_base
500,320,180,0,73.3929,gpu_base
500,320,180,1,66.0375,gpu_base
500,320,180,2,63.3154,gpu_base
500,320,180,3,77.9118,gpu_base
500,320,180,4,65.8046,gpu_base
500,320,180,5,69.3792,gpu_base
